ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability,kfold
3.7160800753869903,180.19681119650213,18630.36266859145,6.330435262759782,334.60101306999,602.9903591348523,15.28501311635726,56.44407628451764,4.500656274942409,0.0,3
4.270716194733737,217.6115992218433,24405.555345573863,7.086699517318438,297.95185232878293,359.62391036764893,13.583526445498858,54.589839544401656,3.763905902952325,0.0,4
6.64884918609138,232.46201274835258,30733.808648233444,5.656461602570044,344.6703354718926,267.8091794322704,17.863443680683233,35.411181418536366,4.827527398066652,0.0,1
7.083560589377688,261.7536374862169,21174.713291087308,7.314073967321961,334.60101306999,582.848407158898,15.21584888722496,90.36745503627785,4.217553378155117,0.0,2
9.323583858284508,263.48456048744805,15751.480110917828,5.196259493137099,297.5936251634803,409.8787042300347,10.72726549121732,74.66928505833691,3.0066502218558617,0.0,4
4.58196872788087,236.8718059626323,33897.37301227797,6.05359167513934,317.2979045499582,416.48737797406716,19.804848042122877,62.4383034807969,4.500207624732678,0.0,2
7.884841993204571,280.0165505134588,21734.13285420274,7.598270848218062,315.93509691148176,378.87589370676017,11.740399275284044,49.919322250056936,4.631640754077167,0.0,2
6.168838539281276,289.0749384316264,24827.821451494263,7.415200337826562,270.23528642281303,492.7783272625631,22.19699022275749,79.28428110264582,4.435760073378446,0.0,2
7.083560589377688,285.77848841994836,3901.218702352235,6.6339189040530995,287.5102145653865,563.5990321982864,19.5230131450292,84.96273971524387,4.071343675272809,0.0,0
8.693104326309326,235.54670003709262,13284.08286405111,6.217004048551093,349.2999051992508,571.0709101723107,14.0833479332217,71.84884510840361,2.8982230607674366,0.0,3
7.083560589377688,245.57998210236363,32981.54426710957,9.249974670057252,334.60101306999,296.8994316111977,10.520889061475467,72.02014736385544,3.2316796925242075,0.0,2
7.348844511550612,274.03883041176533,11519.351337977692,8.584748058718388,334.60101306999,504.2634340869636,18.250374253777164,73.83052201680901,4.880875156180852,0.0,3
5.487876362610197,229.98087380334565,20162.32342848795,4.906619726865356,306.00925523162215,520.7143850554352,12.693474813106413,58.97655797518673,4.223576482290001,0.0,2
7.083560589377688,257.35173366177884,40710.82919636343,8.508855468388983,321.1944409870926,478.15671474869936,14.628499755943933,71.56544718045612,5.486132309176687,0.0,0
8.31595907145097,272.04411343447583,16123.609261149146,9.170990507680074,348.92244389666564,511.7789825863527,22.26474722756329,75.47997409259993,2.760212573568241,0.0,2
8.55107774771961,267.18982281555355,28909.59509477415,6.631971720352968,295.9688198156681,521.0000007242986,16.3073714425128,79.97432285927394,4.046379690043383,0.0,1
6.013160966461117,269.61714676714803,21574.05238173504,8.991041379636743,321.9134263754329,454.3816349599716,14.849347366499936,62.55823904691303,3.4556225409840713,0.0,4
